4,4,2,3,3,13.5,4.5,2025-10-12T13:49:36Z
4,4,2,3,3,13.5,4.5,2025-10-12T13:52:03Z
6,6,3,7,7.5,75.16666666666667,18.91666666666667,2025-10-12T13:52:11Z
8,8,4,14,14,245,49,2025-10-12T13:52:16Z
10,10,5,22,22.5,607.7,101.45000000000005,2025-10-12T14:27:10Z
12,12,6,32,33,1270.8333333333333,181.83333333333326,2025-10-12T14:27:29Z
14,14,7,45,45.5,2366.214285714286,295.9642857142858,2025-10-12T14:27:58Z
16,16,8,59,60,4050.21875,450.21875,2025-10-12T14:28:35Z
18,18,9,75,76.5,6502.969135802469,650.7191358024693,2025-10-12T14:35:13Z
20,20,10,93,95,9928.24,903.2399999999998,2025-10-12T14:36:11Z
22,22,11,113,115.5,14554.053719008265,1213.803719008265,2025-10-12T14:37:21Z
24,24,12,135,138,20632.98611111111,1588.9861111111095,2025-10-12T14:38:44Z
26,26,13,159,162.5,28440.57100591716,2034.3210059171615,2025-10-12T15:00:12Z
28,28,14,184,189,38276.92857142857,2555.9285714285725,2025-10-12T15:02:07Z
30,30,15,211,217.5,50468.66,3162.4100000000035,2025-10-12T15:04:18Z
32,32,16,240,248,65361.28125,3857.28125,2025-10-12T15:06:52Z
