treatment,step.1,step.2,step.3,step.4,y.1,y.2,y.3,avg
t.1,1,2,3,4,27.83,26.75,27.34,27.31
t.2,1,3,4,2,35.69,36.87,39.33,37.30
t.3,1,4,2,3,25.47,24.78,23.01,24.42
t.4,2,1,4,3,22.42,24.19,23.30,23.30
t.5,2,3,1,4,29.33,29.78,28.77,29.29
t.6,2,4,3,1,26.95,25.59,25.48,26.01
t.7,3,1,2,4,35.45,35.90,36.58,35.98
t.8,3,2,4,1,38.73,40.20,39.52,39.48
t.9,3,4,1,2,36.89,35.84,37.62,36.78
t.10,4,1,3,2,34.27,33.23,31.97,33.16
t.11,4,2,1,3,25.60,25.91,25.91,25.81
t.12,4,3,2,1,31.45,31.14,30.93,31.17
t.13,1,2,4,3,16.81,14.65,14.75,15.40
t.14,1,3,2,4,35.00,34.02,33.14,34.05
t.15,1,4,3,2,31.07,30.68,36.48,32.74
t.16,2,1,3,4,31.07,30.48,31.56,31.04
t.17,2,3,4,1,30.80,31.26,32.62,31.56
t.18,2,4,1,3,18.01,14.04,15.29,15.78
t.19,3,1,4,2,37.37,37.37,36.92,37.22
t.20,3,2,1,4,36.35,33.75,38.73,36.28
t.21,3,4,2,1,38.24,37.83,39.18,38.42
t.22,4,1,2,3,25.18,25.29,26.85,25.77
t.23,4,2,3,1,31.56,31.24,29.89,30.90
t.24,4,3,1,2,30.83,30.93,30.09,30.62
t.25,0,0,0,0,31.86,31.37,31.17,31.47
