"map_id","label_1","label_2","label_3","label_4","map_key","map_sha256"
1,1,2,3,4,"1-2-3-4","37db36876b9ccaaa88394679f019c3435af9320dea117e867003840317870e25"
2,1,2,4,3,"1-2-4-3","a476677e7e6c27f07dc7c49b28b270220e462768bda3e734886ccd1960ef342c"
3,1,3,2,4,"1-3-2-4","50533c0878b336fdbd4fca909a80a3f144262786034569b86da4823c0e1d4328"
4,1,3,4,2,"1-3-4-2","5ad41200cb922dc5b30ec59b010b299c2ac86eb907d73c04b1a24ae8a30cc8a9"
5,1,4,2,3,"1-4-2-3","c13d8d7a5ddab6df4adf0b3b79f31838d1c049cfaa054450e32cd3c55bb64492"
6,1,4,3,2,"1-4-3-2","d5b339491040a351dd69f2cf70507a3ff0f0cfbbbfa916b3ac70a7d0efd92476"
7,2,1,3,4,"2-1-3-4","bbca0506b1458027c61c91e525efba825a367aaa2cdcb10810615f03145f3da5"
8,2,1,4,3,"2-1-4-3","4a8e62ad20b1defecbc1d4f36354e5a5fcdfddd28bf5367acbe50ea8cc808e45"
9,2,3,1,4,"2-3-1-4","1caf6f35ff261eee701e11263dfc977a7de4d9653f771edd0391763eb6983734"
10,2,3,4,1,"2-3-4-1","4596727556f72f251de1920d31bd3148cba3394f7de964580a70b1851a58eb97"
11,2,4,1,3,"2-4-1-3","13c72362d05c6b05660885d13dfe303b8ca26430390b6fd77251d7b7c70eebef"
12,2,4,3,1,"2-4-3-1","5a7abcefeb1bcd4fa7a30ab8fe35e19c8e2e5b390f8c9dcb8565eccc06e9459e"
13,3,1,2,4,"3-1-2-4","a54890e5fddc22466278160186935aa2811b3a4c2d2e0bee669f1d0be5329cf8"
14,3,1,4,2,"3-1-4-2","f5ea2ad1cee969154d78e24dead4d655d95f273ceced8cbead0e32f1fc7eafab"
15,3,2,1,4,"3-2-1-4","b0c1d5bb6cc6ec2d32cba38387b003173a9b762225e913295d6da3c3b956de7f"
16,3,2,4,1,"3-2-4-1","cd299ff922d0108df1edda59055d4990708fa9ab3b18c319b5c5cc5f9edffca3"
17,3,4,1,2,"3-4-1-2","8d88435d1851550702a89b35ea0a3b4cceaaab4e9e7b9b2d32df3a34f4e7ecb5"
18,3,4,2,1,"3-4-2-1","b1b69b1e861bb03c7c2031eb4180bf0c6166c1771690547af82cb0ae8df0fda8"
19,4,1,2,3,"4-1-2-3","d1638b61ec593d10ea673cc10d1c3b9a7be2666d48959be8fcc43300c086538f"
20,4,1,3,2,"4-1-3-2","da97bbc0f42699558ad43d1cb1ff99bd88669ffb417c7396b727b750b260ae1a"
21,4,2,1,3,"4-2-1-3","6c5cbebc1f2d8cbe4c9031246746db1fe960417f94c4d79e208839e6715d7179"
22,4,2,3,1,"4-2-3-1","238ddf0356771a05d297cd6ce221b520c80897d6a666d5a68ddd8bc51f67abea"
23,4,3,1,2,"4-3-1-2","1e8bd009c73d80cd097e6d45c209effc6f048ece8752030d00b35bb224c2de20"
24,4,3,2,1,"4-3-2-1","d40e23253a17074e6838745bf20b0c41fa5f9065009358d4221d6683a92d5d3d"
