"case","design_seed_id","stage","retry_id","seed","sharing"
"four_drug",1,"initial_design_shared",0,427678194,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
"four_drug",1,"initial_design_shared",1,427678195,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
"four_drug",1,"initial_design_shared",2,427678196,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
"four_drug",1,"initial_design_shared",3,427678197,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
"four_drug",1,"initial_design_shared",4,427678198,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
"four_drug",1,"initial_design_shared",5,427678199,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
"four_drug",1,"initial_design_shared",6,427678200,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
"four_drug",1,"initial_design_shared",7,427678201,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
"four_drug",1,"initial_design_shared",8,427678202,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
"four_drug",1,"initial_design_shared",9,427678203,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
"four_drug",1,"initial_design_shared",10,191269109,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
"four_drug",1,"initial_design_shared",11,191269110,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
"four_drug",1,"initial_design_shared",12,191269111,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
"four_drug",1,"initial_design_shared",13,191269112,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
"four_drug",1,"initial_design_shared",14,191269113,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
"four_drug",1,"initial_design_shared",15,191269114,"shared by rank-conditioned SRS and the two unrestricted geometry searches in the paper subset; first full-rank draw is used"
