"entry_id","method","design_seed_id","stochastic","m","n","design_sha256","initial_design_sha256","initial_seed","move_seed","initial_rank_retry","design_rank_retry","target_lambda","target_geometry","strict_foldover","phi_valid","A","B","Phi","kendall_min","kendall_mean_sq","hamming_min","hamming_mean_sq","position_l2_min","position_l2_mean_sq","pwo_rank","pwo_columns","n_obj_eval","total_obj_eval_including_rank_retries","budget_exhausted","inference_role"
"seed01__Exact_Phi_lambda050","Exact_Phi_lambda050",1,FALSE,4,12,"12c49faf00495200afbe9c71b65dd8609d4952a9e722cbac49a856dd75d16fc8",NA,NA,NA,0,0,0.5,"kendall_weighted_strict_foldover",TRUE,TRUE,0.5,0.9375,0.71875,2,12.3636363636364,3,10.9090909090909,2,10.9090909090909,7,7,924,924,TRUE,"fixed_design_descriptive_repeated_only_for_alignment"
"seed01__Unrestricted_Hamming","Unrestricted_Hamming",1,TRUE,4,12,"9e692a11b94f2f2c7f7fe6f948848304b750849d00396cd5a79929683df63603","7798ca34820012de55b8296ed2ef9309133aa0255ae8352623d2eeb40407cc64",427678194,623928609,0,0,NA,"hamming",FALSE,FALSE,NA,NA,NA,1,12.2878787878788,2,11.3030303030303,1.4142135623731,10.9090909090909,7,7,6000,6000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed01__Unrestricted_Position_L2","Unrestricted_Position_L2",1,TRUE,4,12,"d2884c9fc0cdc7e61ddb965380ee1e65b7fe181fa356db1115604c99d6a3155c","7798ca34820012de55b8296ed2ef9309133aa0255ae8352623d2eeb40407cc64",427678194,623928609,0,0,NA,"l2_position",FALSE,FALSE,NA,NA,NA,1,12.0454545454545,2,11.3030303030303,1.4142135623731,10.9090909090909,7,7,6000,6000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed01__OofA_OA","OofA_OA",1,FALSE,4,12,"5fb1aff3a8a8f83f0b288115e422acda4488658fce87aba3218e7b4afa33265f",NA,NA,NA,0,0,NA,"OofA-OA(12,4,2)",FALSE,FALSE,NA,NA,NA,1,12.1818181818182,2,11.2727272727273,1.4142135623731,10.9090909090909,7,7,0,0,NA,"fixed_design_descriptive_repeated_only_for_alignment"
"seed01__SRS","SRS",1,TRUE,4,12,"7798ca34820012de55b8296ed2ef9309133aa0255ae8352623d2eeb40407cc64","7798ca34820012de55b8296ed2ef9309133aa0255ae8352623d2eeb40407cc64",427678194,NA,0,0,NA,"uniform_without_replacement_conditional_on_full_PWO_rank",FALSE,FALSE,NA,NA,NA,1,11.4393939393939,2,10.1060606060606,1.4142135623731,10.3333333333333,7,7,0,0,NA,"paired_Monte_Carlo_by_design_seed"
"seed02__Exact_Phi_lambda050","Exact_Phi_lambda050",2,FALSE,4,12,"12c49faf00495200afbe9c71b65dd8609d4952a9e722cbac49a856dd75d16fc8",NA,NA,NA,0,0,0.5,"kendall_weighted_strict_foldover",TRUE,TRUE,0.5,0.9375,0.71875,2,12.3636363636364,3,10.9090909090909,2,10.9090909090909,7,7,924,924,TRUE,"fixed_design_descriptive_repeated_only_for_alignment"
"seed02__Unrestricted_Hamming","Unrestricted_Hamming",2,TRUE,4,12,"fe35fe16e48068c18c919f89a785427af98fc25a9af3eb3b7d4f0270ae1b2525","bb0d589d0f5221eac013cec3e380e352cf90cb3e6b2822225861ba06e40c9e70",1800458376,537577919,0,0,NA,"hamming",TRUE,TRUE,0,0.791666666666667,0.395833333333333,1,12.7878787878788,2,11.3939393939394,1.4142135623731,10.9090909090909,7,7,6000,6000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed02__Unrestricted_Position_L2","Unrestricted_Position_L2",2,TRUE,4,12,"3a6899fb17f03f28d2cb281d9596a8a79a6a3b4bcfc7c85fef51345fcdaaf806","bb0d589d0f5221eac013cec3e380e352cf90cb3e6b2822225861ba06e40c9e70",1800458376,537577919,0,0,NA,"l2_position",FALSE,FALSE,NA,NA,NA,1,12.3484848484848,2,10.7878787878788,1.4142135623731,10.9090909090909,7,7,6000,6000,TRUE,"paired_Monte_Carlo_by_design_seed"
"seed02__OofA_OA","OofA_OA",2,FALSE,4,12,"5fb1aff3a8a8f83f0b288115e422acda4488658fce87aba3218e7b4afa33265f",NA,NA,NA,0,0,NA,"OofA-OA(12,4,2)",FALSE,FALSE,NA,NA,NA,1,12.1818181818182,2,11.2727272727273,1.4142135623731,10.9090909090909,7,7,0,0,NA,"fixed_design_descriptive_repeated_only_for_alignment"
"seed02__SRS","SRS",2,TRUE,4,12,"bb0d589d0f5221eac013cec3e380e352cf90cb3e6b2822225861ba06e40c9e70","bb0d589d0f5221eac013cec3e380e352cf90cb3e6b2822225861ba06e40c9e70",1800458376,NA,0,0,NA,"uniform_without_replacement_conditional_on_full_PWO_rank",FALSE,FALSE,NA,NA,NA,1,11.4545454545455,2,10.5454545454545,1.4142135623731,10.3636363636364,7,7,0,0,NA,"paired_Monte_Carlo_by_design_seed"
