"candidate","k_min","k_m2","A","B","Phi050","nearest_pair_multiplicity","pair_indices","design_sha256"
1,1,13.2727272727273,0,0.625,0.3125,12,"1;2;3;4;5;6","7325808b0a2a1fbd340492a2a57cabe93b33dfca5c34968357a087c05fef842d"
2,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;4;5;7","7c9cd43684f7b444ba4e3f599190f772d992cbf6bcb9590260de907e721643a4"
3,1,13.0909090909091,0,0.6875,0.34375,10,"1;2;3;4;5;8","ac78bd1f51646ca536129fbe232aa027557bdd1558cabb79f8b377c89c1e1cc5"
4,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;4;5;9","3624d554b15dbc408ad2fde93971c7c65ee77c46f5c0aaccacae8ed2a1901010"
5,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;4;5;10","d1b70e5dc710910aad90ea6c1a63aec93e55a918c098a5eeb0448864a3ff70ab"
6,1,13.0909090909091,0,0.6875,0.34375,10,"1;2;3;4;5;11","13a7138ca253a0adcc63b8f17275af18c9d1355170c0bebd6ea19971d2fbbcfd"
7,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;4;5;12","8c23c68e9a6d9bacf9c733ad3e28116115e2143fb6418f67b4652d703e954c65"
8,1,13.0909090909091,0,0.6875,0.34375,10,"1;2;3;4;6;7","aeaeb55973d4ae551edac180eeb0ae0e43b78c8ba97f28dd5a8c10765831ecb0"
9,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;4;6;8","f2b42f427916df4bb52fa220596951a5d1f5d2b420304e379ca57c66e106b1ba"
10,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;4;6;9","7a94ef5239922235d2accf454729d4b94d5201971cb7880ffcbe60a4f7e37f41"
11,1,13.0909090909091,0,0.6875,0.34375,10,"1;2;3;4;6;10","1b9b5c9d088df5a35cec24a2ffac09b92fdaf9021175b5c5dc34c4cd23f58871"
12,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;4;6;11","9270d76a585d8906444ac0b462c6fdfa4198526ae9d8d8ec3aa1c77398d30412"
13,1,12.8484848484848,0,0.770833333333334,0.385416666666667,8,"1;2;3;4;6;12","e4c2e314e88236a60b6368dddf517fea2f413d1fd414b8b725999279d86085e5"
14,1,13.2727272727273,0,0.625,0.3125,12,"1;2;3;4;7;8","5710f984362933c3b3b7005df1d040cb2b4380426fdcbdde8243d44977c0f69a"
15,1,13.030303030303,0,0.708333333333333,0.354166666666667,10,"1;2;3;4;7;9","18dba21f21d30a8f56f1010f5e9918232ed1632e781444dcd38976cb33cb31ed"
