"method","stochastic_method","model","bo_step","n_observed","recommendation_type","n_rows","top1_rate","selected_in_true_top3_rate","top3_contains_best_rate","top3_overlap_mean","regret_mean","regret_sd","reversal_difference_mean","simultaneous_difference_mean","inference_note"
"Exact_Phi_lambda050",FALSE,"Intercept_Mallows_GP",0,12,"incumbent_observed",1440,0.5,1,0.5,0.5,0.533333333333334,0.843494501634541,19.0383333333333,7.48333333333333,"descriptive only; fixed design repeated across seed IDs for alignment"
"Exact_Phi_lambda050",FALSE,"Intercept_Mallows_GP",0,12,"surrogate_all24",1440,0.5,0.666666666666667,0.5,0.611111111111111,1.09333333333333,1.48343646264592,13.1766666666667,6.92333333333333,"descriptive only; fixed design repeated across seed IDs for alignment"
"OofA_OA",FALSE,"Intercept_Mallows_GP",0,12,"incumbent_observed",1440,0.5,0.791666666666667,0.5,0.5,1.175,1.86563673231319,16.65875,6.84166666666667,"descriptive only; fixed design repeated across seed IDs for alignment"
"OofA_OA",FALSE,"Intercept_Mallows_GP",0,12,"surrogate_all24",1440,0.416666666666667,0.875,0.583333333333333,0.569444444444444,1.02041666666667,1.21103501297061,18.0229166666667,6.99625,"descriptive only; fixed design repeated across seed IDs for alignment"
"SRS",TRUE,"Intercept_Mallows_GP",0,12,"incumbent_observed",1440,0.5,0.797916666666667,0.5,0.457407407407407,1.05158333333333,1.64230045735146,16.8104652777778,6.96508333333333,"design-seed Monte Carlo; maps/folds are fixed exhaustive factors"
"SRS",TRUE,"Intercept_Mallows_GP",0,12,"surrogate_all24",1440,0.303472222222222,0.719444444444444,0.542361111111111,0.569212962962963,1.37843055555556,1.50893679072338,17.4926597222222,6.63823611111111,"design-seed Monte Carlo; maps/folds are fixed exhaustive factors"
"Unrestricted_Hamming",TRUE,"Intercept_Mallows_GP",0,12,"incumbent_observed",1440,0.5,0.828472222222222,0.5,0.486574074074074,1.01252777777778,1.62083678465172,17.2645069444444,7.00413888888889,"design-seed Monte Carlo; maps/folds are fixed exhaustive factors"
"Unrestricted_Hamming",TRUE,"Intercept_Mallows_GP",0,12,"surrogate_all24",1440,0.200694444444444,0.706944444444444,0.490277777777778,0.582407407407407,1.52106944444445,1.37235070517544,17.9399375,6.49559722222222,"design-seed Monte Carlo; maps/folds are fixed exhaustive factors"
"Unrestricted_Position_L2",TRUE,"Intercept_Mallows_GP",0,12,"incumbent_observed",1440,0.5,0.841666666666667,0.5,0.469907407407407,0.961361111111112,1.56208026072499,17.4162777777778,7.05530555555556,"design-seed Monte Carlo; maps/folds are fixed exhaustive factors"
"Unrestricted_Position_L2",TRUE,"Intercept_Mallows_GP",0,12,"surrogate_all24",1440,0.261805555555556,0.701388888888889,0.520138888888889,0.572916666666667,1.43133333333333,1.51321563913908,17.3252291666667,6.58533333333333,"design-seed Monte Carlo; maps/folds are fixed exhaustive factors"
