"repetition","profile_id","assignment_seed"
1,4,1092528774
2,2,1092528774
3,1,1092528774
4,3,1092528774
5,3,1092528774
6,1,1092528774
7,3,1092528774
8,2,1092528774
9,2,1092528774
10,3,1092528774
11,4,1092528774
12,1,1092528774
13,1,1092528774
14,3,1092528774
15,4,1092528774
16,2,1092528774
17,5,1092528774
18,5,1092528774
19,2,1092528774
20,1,1092528774
21,4,1092528774
22,1,1092528774
23,5,1092528774
24,4,1092528774
25,2,1092528774
26,5,1092528774
27,5,1092528774
28,5,1092528774
29,3,1092528774
30,4,1092528774
