"scenario","gamma","omega","method","method_label","step","metric","n","mean","sd","se","ci_low","ci_high","method_label_paper","total_evaluated"
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",0,"standardized_regret",30,1.52451188228057,0.375318698256066,0.068523505762774,1.38436557711169,1.66465818744945,"FSA-KD",20
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",1,"standardized_regret",30,1.13241953113338,0.487438677046556,0.0889937196062914,0.950406937830951,1.31443212443582,"FSA-KD",21
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",2,"standardized_regret",30,0.937847889792869,0.43317441315657,0.0790864658066386,0.776097905633617,1.09959787395212,"FSA-KD",22
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",3,"standardized_regret",30,0.863275503118314,0.379465525821094,0.0692806094292575,0.721580747088578,1.00497025914805,"FSA-KD",23
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",4,"standardized_regret",30,0.738436094034347,0.28990628178517,0.0529294033653955,0.630183309331041,0.846688878737652,"FSA-KD",24
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",5,"standardized_regret",30,0.691650604097099,0.284396804708006,0.0519235150736555,0.585455091944735,0.797846116249463,"FSA-KD",25
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",6,"standardized_regret",30,0.639994281590572,0.327731893828794,0.0598353836879729,0.517617181223546,0.762371381957598,"FSA-KD",26
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",7,"standardized_regret",30,0.596557618713648,0.342814008055603,0.0625889884136038,0.468548764339045,0.724566473088251,"FSA-KD",27
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",8,"standardized_regret",30,0.582212383485321,0.347750021363416,0.0634901770245488,0.452360391450461,0.712064375520181,"FSA-KD",28
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",9,"standardized_regret",30,0.544998311175877,0.338336412993077,0.061771495140564,0.418661418275539,0.671335204076215,"FSA-KD",29
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",10,"standardized_regret",30,0.511130559303295,0.33271636210504,0.0607454189253291,0.386892227893443,0.635368890713147,"FSA-KD",30
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",11,"standardized_regret",30,0.491740312749481,0.313780941361291,0.057288299899595,0.374572583647442,0.608908041851521,"FSA-KD",31
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",12,"standardized_regret",30,0.461863214488532,0.315237988031248,0.057554319009086,0.344151415218388,0.579575013758676,"FSA-KD",32
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",13,"standardized_regret",30,0.443944519252662,0.307926148206317,0.0562193658060929,0.328963005844139,0.558926032661184,"FSA-KD",33
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",14,"standardized_regret",30,0.429760264822222,0.308234529873154,0.0562756683378422,0.314663599806839,0.544856929837606,"FSA-KD",34
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",15,"standardized_regret",30,0.419868877387485,0.305519672818741,0.0557800055214741,0.30578595665664,0.53395179811833,"FSA-KD",35
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",16,"standardized_regret",30,0.412035603860671,0.300024420521638,0.0547767143073723,0.300004644060599,0.524066563660744,"FSA-KD",36
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",17,"standardized_regret",30,0.406503971186708,0.300696046818092,0.0548993359316328,0.294222222005931,0.518785720367484,"FSA-KD",37
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",18,"standardized_regret",30,0.40409481813979,0.295178738163257,0.0538920177959756,0.293873265869118,0.514316370410463,"FSA-KD",38
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",19,"standardized_regret",30,0.40144732517646,0.29461769937116,0.0537895865952866,0.291435268233716,0.511459382119204,"FSA-KD",39
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",20,"standardized_regret",30,0.391080123414775,0.28388776282908,0.0518305771670545,0.285074690623869,0.497085556205681,"FSA-KD",40
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",21,"standardized_regret",30,0.373772836493925,0.262480911371796,0.047922238690949,0.275760853405837,0.471784819582012,"FSA-KD",41
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",22,"standardized_regret",30,0.369732549518083,0.262009237058824,0.0478361231372788,0.27189669251301,0.467568406523156,"FSA-KD",42
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",23,"standardized_regret",30,0.369732549518083,0.262009237058824,0.0478361231372788,0.27189669251301,0.467568406523156,"FSA-KD",43
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",24,"standardized_regret",30,0.360787945867009,0.257352546093276,0.0469859315755584,0.264690925845458,0.45688496588856,"FSA-KD",44
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",25,"standardized_regret",30,0.359931160173006,0.257071324436335,0.0469345877605032,0.263939150043946,0.455923170302066,"FSA-KD",45
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",26,"standardized_regret",30,0.354414205904494,0.257311181956562,0.0469783795519752,0.258332631505433,0.450495780303554,"FSA-KD",46
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",27,"standardized_regret",30,0.332104238732115,0.25369999362532,0.0463190697825015,0.23737110421693,0.4268373732473,"FSA-KD",47
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",28,"standardized_regret",30,0.318378974700708,0.235057311198516,0.0429153972166464,0.230607132209324,0.406150817192093,"FSA-KD",48
"g100_w050",1,0.5,"fsa_lambda05","FSA-KD lambda=0.5",29,"standardized_regret",30,0.29575651819404,0.205100124471359,0.0374459882400269,0.219170873066585,0.372342163321496,"FSA-KD",49
