"experiment","m","n","lambda","rep","seed","design_path","objective","n_iter","elapsed_sec","k_min","k_ave","k_m2","A","B","phi_lambda","C1","C2","U2"
"distance",5,5,0,1,751130400,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n005_lambda000_rep01.rds",0.806047516198704,6000,0.0179999999999998,4,6,40.2,0.75,0.806047516198704,0.806047516198704,5,36.4583333333333,55.75
"distance",10,10,0,1,2126489933,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n010_lambda000_rep01.rds",0.836380172805821,6000,0.0369999999999999,19,25,677.177777777778,0.857142857142857,0.836380172805821,0.836380172805821,22,597.222222222222,1085.88888888889
"distance",20,20,0,1,1091704032,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n020_lambda000_rep01.rds",0.910000696265695,6000,0.186,61,100,10566.3789473684,0.638297872340426,0.910000696265695,0.910000696265695,95,9750,18820.9473684211
"distance",5,10,0,1,1324584497,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"distance",10,20,0,1,2051274262,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n020_lambda000_rep01.rds",0.922829581993569,6000,0.115,14,23.6842105263158,601.157894736842,0.619047619047619,0.922829581993569,0.922829581993569,22,565.789473684211,1024.10526315789
"distance",20,40,0,1,941272690,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n040_lambda000_rep01.rds",0.956548887946608,6000,0.376,57,97.4358974358974,9883.61538461538,0.595744680851064,0.956548887946608,0.956548887946608,95,9500,18328.6666666667
"distance",5,15,0,1,649600473,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n015_lambda000_rep01.rds",0.949019607843137,6000,0.0360000000000005,1,5.33333333333333,31.9619047619048,0,0.949019607843137,0.949019607843137,5,31.25,45.2142857142857
"distance",10,30,0,1,1976058591,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n030_lambda000_rep01.rds",0.950806575510831,6000,0.16,13,23.2758620689655,578.11724137931,0.571428571428571,0.950806575510831,0.950806575510831,22,556.034482758621,1004.93103448276
"distance",20,60,0,1,790841348,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n060_lambda000_rep01.rds",0.970548221147887,6000,0.6,53,96.6101694915254,9677.21355932203,0.553191489361702,0.970548221147887,0.970548221147887,95,9419.49152542373,18170.1355932203
"distance",5,20,0,1,1249368826,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n020_lambda000_rep01.rds",0.953403141361256,6000,0.0739999999999998,1,5.26315789473684,31.3263157894737,0,0.953403141361256,0.953403141361256,5,30.7017543859649,44.1052631578947
"distance",10,40,0,1,1900842920,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n040_lambda000_rep01.rds",0.963504155124654,6000,0.170999999999999,8,23.0769230769231,567.497435897436,0.333333333333333,0.963504155124654,0.963504155124654,22,551.282051282051,995.589743589744
"distance",20,80,0,1,640410006,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n080_lambda000_rep01.rds",0.97817606188377,6000,0.877,47,96.2025316455696,9569.87974683544,0.48936170212766,0.97817606188377,0.97817606188377,95,9379.74683544304,18091.8734177215
"distance",5,25,0,1,574384802,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n025_lambda000_rep01.rds",0.977206585236325,6000,0.056,1,5.2,30.68,0,0.977206585236325,0.977206585236325,5,30.3819444444444,43.4583333333333
"distance",10,50,0,1,1825627249,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n050_lambda000_rep01.rds",0.970130326277845,6000,0.23,7,22.9591836734694,561.659591836735,0.285714285714286,0.970130326277845,0.970130326277845,22,548.469387755102,990.061224489796
"distance",20,100,0,1,1805029781,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n100_lambda000_rep01.rds",0.982535327843316,6000,1.173,35,95.959595959596,9507.81414141414,0.361702127659574,0.982535327843316,0.982535327843316,95,9356.06060606061,18045.2323232323
"distance",5,5,0.1,1,776701177,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n005_lambda010_rep01.rds",0.800442764578834,6000,0.016,4,6,40.2,0.75,0.806047516198704,0.800442764578834,5,36.4583333333333,55.75
"distance",10,10,0.1,1,329080651,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n010_lambda010_rep01.rds",0.843218346001429,6000,0.0339999999999998,20,25,677.177777777778,0.904761904761905,0.836380172805821,0.843218346001429,22,597.222222222222,1085.88888888889
"distance",20,20,0.1,1,2057845420,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n020_lambda010_rep01.rds",0.893775764916999,6000,0.143999999999999,71,100,10563.2842105263,0.74468085106383,0.91034186645624,0.893775764916999,95,9750,18820.9473684211
"distance",5,10,0.1,1,2052471716,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n010_lambda010_rep01.rds",0.867176039119804,6000,0.0209999999999999,4,5.55555555555556,34.2222222222222,0.75,0.880195599022005,0.867176039119804,5,32.4074074074074,47.5555555555556
"distance",10,20,0.1,1,190611649,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n020_lambda010_rep01.rds",0.888151890981473,6000,0.0809999999999995,14,23.6842105263158,603.347368421053,0.619047619047619,0.91805236564079,0.888151890981473,22,565.789473684211,1024.10526315789
"distance",20,40,0.1,1,1780907416,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n040_lambda010_rep01.rds",0.924991433574579,6000,0.346,62,97.4358974358974,9891.42564102564,0.648936170212766,0.955664240614781,0.924991433574579,95,9500,18328.6666666667
"distance",5,15,0.1,1,30847049,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n015_lambda010_rep01.rds",0.900434782608696,6000,0.0359999999999996,3,5.33333333333333,32.0190476190476,0.5,0.944927536231884,0.900434782608696,5,31.25,45.2142857142857
"distance",10,30,0.1,1,52142647,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n030_lambda010_rep01.rds",0.910171703648428,6000,0.207,12,23.2758620689655,577.087356321839,0.523809523809524,0.95310083474164,0.910171703648428,22,556.034482758621,1004.93103448276
"distance",20,60,0.1,1,1503969412,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n060_lambda010_rep01.rds",0.935004005681144,6000,0.584000000000001,59,96.6101694915254,9679.07570621469,0.617021276595745,0.970335420023966,0.935004005681144,95,9419.49152542373,18170.1355932203
"distance",5,20,0.1,1,1914002714,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n020_lambda010_rep01.rds",0.888717277486911,6000,0.0390000000000006,2,5.26315789473684,31.2421052631579,0.25,0.959685863874345,0.888717277486911,5,30.7017543859649,44.1052631578947
"distance",10,40,0.1,1,2061157274,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n040_lambda010_rep01.rds",0.911053950666139,6000,0.169,11,23.0769230769231,569.333333333333,0.476190476190476,0.959372114496768,0.911053950666139,22,551.282051282051,995.589743589744
"distance",20,80,0.1,1,1227031408,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n080_lambda010_rep01.rds",0.936935415980512,6000,0.846,55,96.2025316455696,9578.3,0.574468085106383,0.977209563855415,0.936935415980512,95,9379.74683544304,18091.8734177215
"distance",5,25,0.1,1,2039861676,"outputs/wcrit/01_distance_sensitivity/designs/distance_m05_n025_lambda010_rep01.rds",0.892556027615507,6000,0.0570000000000004,2,5.2,30.8533333333333,0.25,0.963951141795008,0.892556027615507,5,30.3819444444444,43.4583333333333
"distance",10,50,0.1,1,1922688272,"outputs/wcrit/01_distance_sensitivity/designs/distance_m10_n050_lambda010_rep01.rds",0.914257457119089,6000,0.228,10,22.9591836734694,562.502040816326,0.428571428571429,0.968222571402163,0.914257457119089,22,548.469387755102,990.061224489796
"distance",20,100,0.1,1,636855080,"outputs/wcrit/01_distance_sensitivity/designs/distance_m20_n100_lambda010_rep01.rds",0.938260424969966,6000,1.165,53,95.959595959596,9520.75636363636,0.553191489361702,0.981045862259773,0.938260424969966,95,9356.06060606061,18045.2323232323
